Board of Intermediate Education, Andhra Pradesh
Andhra Pradesh Open School Society
Assam Higher Secondary Education Council
Assam Sanskrit Board
Bihar Board of Open Schooling and Examination
Bihar Intermediate Education Council, Patna
Bihar Sanskrit Shiksha Board, Patna
Bihar School Examination Board
Bihar State Madrasa Education Board, Patna
Board of High School & Intermediate Education Uttar Pradesh
Board of School Education Haryana
Board of Secondary Education, Rajasthan
Central Board of Secondary Education
Chhattisgqrh Board of Secondary Education
Chhattisgarh Madrasa Board
Chhattisgarh Sanskrit Board
Chhattisgarh State Open School
Council for the Indian School Certificate Examinations
Council of Higher Secondary Education, Manipur
Council of Higher Secondary Education, Odisha
Uttar Pradesh State Open School Board
The Kerala State Higher Education Council
Goa Board of Secondary & Higher Secondary Education
Gujarat secondary & Higher Secondary Education Board
Himachal Pradesh Board of School Education
Jammu & Kashmir State Board of School Education
Jharkhand Academic Council
Karnataka Board of the Pre-University Education
Karnataka Open School (subsidiary of Karnataka Secondary Education Examination Borad)
Karnataka secondary Education Examination Borad
Kerala State Open School, Thiruvananthapuram
Madhya Pradesh Board of Secondary Education
Madhya Pradesh State Open School Education Board
Maharashtra State Board of Secondary and Higher Secondary Education
Meghalaya Board of School Education
Mizoram Board of School Education
Nagaland Board of School Education
National Institute of Open Schooling (formarly National Open School)
Punjab School Education Board
Rajasthan State Open School, Jaipur
Rashtriya Sanskrit Sansthan
School Education Department, Government of Tamil Nadu
Telangana State Board of Intermediate Education
The Haryana open school (subsidiary of Board of School Education Haryana)
The Jammu & Kashmir State Open School
The West Bengal Council of Rabindra Open Schooling
Tripura Board of Secondary Education
Uttranchal Siksha evam Pariksha Parishad (Education Board), Ramnagar, Nainital
Vocational Higher secondary Education Department, Government of Kerala
West Bengal Board of Madrasah Education
West Bengal council of Higher secondary Education
West Bengal State Council of Vocational Education & Trainin