Choose Subject,
ACCOUNTANCY,ACC
ACOUNTENCY,ACCT
ADDITIONAL MATHAMETICS,ADDLM
APP/COMMERCIAL ART,APP/COMMART
AUTOMOBILE MECHANICS,AUMC
AOTOMOBILE SERVICE & MAINTANENCE,AUSM
BENGALI,BENG
BENGALI(A),BENGA
BENGALI(B),BENGB
BIOLOGY,BIOG
BIOLOGICAL SCIENCE,BIOS
BUSINESS MATHEMATICS,BM
BUISNESS ORGANISATION MANAGMENT,BOM
BUISNESS ORGANISATION & MANAGEWMENT,BOM
Besic science,BS22
BUISNESS STYDIES,BSTD
COMPUTER ASSEMBLY & MAINTENANCE,CAAM
COMMUNICATIVE ENGLISH,CEN2
COMPUTER FUNDAMENTAL & APPLICATION,CFAP
CHEMISTRY,CHEM
COMPUTER APPLICATION,CMAP
COMMERCE,COM
MODERN COMPUTER APPLICATIONS,COMA
COMMERCIAL ARTS,COMMA
COMPUTER SCIENCE,COMS
ECONOMIC GEOGRAPHY,ECOG
ECONOMICS,ECON
EDUCATION,EDCN
ENGLISH,ENG
ENGLISH CORE,ENG CORE
ENGLISH (A),ENGA
ENGLISH(B),ENGB
ENGLISH CORE,ENGCOR
ENGLISH+HINDI,ENGHIN
CEN2,ENGLISH COMMUNICATIV
ENVIORNMENTAL STUDIES,ENST
ENVIRONMENTAL EDUCATION,ENVE
ENVIRONMENTAL SCIENCE,EVS
ELECTRICAL WARING AND INSTALATION,EWAI
GEOGRAPHY,GEO
GEOLOGY,GEOGLY
GEOM. & MECHANICAL DRAWING,GMD
HINDI+ MAITHILI,HIMA
HINDI(A),HIN(A)
HINDI(B),HINB
HINDI,HIND
HINDI+ENGLISH,HINENG
HISTORY,HIS
HOME SCINCE,HSC
INFORMATICS PRACTICES,INFPRC
MATHEMATICS,MATH
maintenance and repair of electrical domestic appl,MRED
MUSIC HIND. VOCAL,MUHINVOC
MUSIC,MUS
NUTRATION,NUTN
PAINTING,PAIT
PC MAINTENANCE,PCM
PHILOSOPHY,PHIL
PHYSICAL EDUCATION,PHYED
PHYSICS,PHYS
POLITICAL SCINCE,PLSC
POLSCIENCE,POLSC
PROJECT,PRJ
R B NON HINDI ALTERNATIVE URDU,RB URDU
RB NON-HINDI/MAITHILI,RB/MAI
R B NON-HINDI (ALTERNATIVE ENGLISH),RBN-HAE
SANSKRIT,SNSK
SPORTS & PHYSICAL EDUCATION,SPRTS
STATISTICS,STAT
SUPW,SUPW
TEDG,TECHNICAL DRAWING
TECHNICAL DRAWING,TEDG
URDU,UR
URDU+HINDI,URDHIN